name,slug,category,rating,Functionality | Analytics,Functionality | Mass Messaging,Functionality | Multimedia,Functionality | Push Notifications,Functionality | Student Messaging,Integration | Classroom Management,Integration | LMS Integration,Integration | Message Sync
SchoolStatus,schoolstatus,Classroom Messaging,4.9,94.0,96.0,91.0,93.0,89.0,95.0,91.0,94.0
TalkingPoints,talkingpoints,Classroom Messaging,4.8,92.0,97.0,90.0,93.0,94.0,94.0,93.0,94.0
ParentSquare,parentsquare,Classroom Messaging,4.3,,,,,,,,
